# <PROBLEM TYPE>;<USE_SIMULATOR>;<ALGORITHM>;<MAGNITUDE>;<FREQUENCY>;<CYCLE>;<PERIOD>;<N_VERTICES>;<SEED>

TSP;false;MMAS_MEM;0.5;100;true;4;100;5
TSP;false;EIACO;0.5;100;true;4;100;5
TSP;false;MMAS;0.5;100;true;4;150;5
TSP;false;MMAS_MEM;0.5;100;true;4;150;5
TSP;false;EIACO;0.5;100;true;4;150;5
TSP;false;MMAS;0.5;100;true;4;200;5
TSP;false;MMAS_MEM;0.5;100;true;4;200;5
TSP;false;EIACO;0.5;100;true;4;200;5

TSP;false;MMAS;0.1;100;true;4;100;6
TSP;false;MMAS_MEM;0.1;100;true;4;100;6
TSP;false;EIACO;0.1;100;true;4;100;6
TSP;false;MMAS;0.1;100;true;4;150;6
TSP;false;MMAS_MEM;0.1;100;true;4;150;6
TSP;false;EIACO;0.1;100;true;4;150;6
TSP;false;MMAS;0.1;100;true;4;200;6
TSP;false;MMAS_MEM;0.1;100;true;4;200;6
TSP;false;EIACO;0.1;100;true;4;200;6

NORMAL;true;MMAS;0.75;10;true;4;125;13
NORMAL;true;MMAS_MEM;0.75;10;true;4;125;13
NORMAL;true;EIACO;0.75;10;true;4;125;13
NORMAL;true;MMAS;0.75;10;true;4;78;13
NORMAL;true;MMAS_MEM;0.75;10;true;4;78;13
NORMAL;true;EIACO;0.75;10;true;4;78;13
NORMAL;true;MMAS;0.75;10;true;4;46;13
NORMAL;true;MMAS_MEM;0.75;10;true;4;46;13
NORMAL;true;EIACO;0.75;10;true;4;46;13

NORMAL;true;MMAS;0.5;10;true;4;125;14
NORMAL;true;MMAS_MEM;0.5;10;true;4;125;14
NORMAL;true;EIACO;0.5;10;true;4;125;14
NORMAL;true;MMAS;0.5;10;true;4;78;14
NORMAL;true;MMAS_MEM;0.5;10;true;4;78;14
NORMAL;true;EIACO;0.5;10;true;4;78;14
NORMAL;true;MMAS;0.5;10;true;4;46;14
NORMAL;true;MMAS_MEM;0.5;10;true;4;46;14
NORMAL;true;EIACO;0.5;10;true;4;46;14

NORMAL;true;MMAS;0.1;10;true;4;125;15
NORMAL;true;MMAS_MEM;0.1;10;true;4;125;15
NORMAL;true;EIACO;0.1;10;true;4;125;15
NORMAL;true;MMAS;0.1;10;true;4;78;15
NORMAL;true;MMAS_MEM;0.1;10;true;4;78;15
NORMAL;true;EIACO;0.1;10;true;4;78;15
NORMAL;true;MMAS;0.1;10;true;4;46;15
NORMAL;true;MMAS_MEM;0.1;10;true;4;46;15
NORMAL;true;EIACO;0.1;10;true;4;46;15

NORMAL;true;MMAS;0.75;100;true;4;125;16
NORMAL;true;MMAS_MEM;0.75;100;true;4;125;16
NORMAL;true;EIACO;0.75;100;true;4;125;16
NORMAL;true;MMAS;0.75;100;true;4;78;16
NORMAL;true;MMAS_MEM;0.75;100;true;4;78;16
NORMAL;true;EIACO;0.75;100;true;4;78;16
NORMAL;true;MMAS;0.75;100;true;4;46;16
NORMAL;true;MMAS_MEM;0.75;100;true;4;46;16
NORMAL;true;EIACO;0.75;100;true;4;46;16

NORMAL;true;MMAS;0.5;100;true;4;125;17
NORMAL;true;MMAS_MEM;0.5;100;true;4;125;17
NORMAL;true;EIACO;0.5;100;true;4;125;17
NORMAL;true;MMAS;0.5;100;true;4;78;17
NORMAL;true;MMAS_MEM;0.5;100;true;4;78;17
NORMAL;true;EIACO;0.5;100;true;4;78;17
NORMAL;true;MMAS;0.5;100;true;4;46;17
NORMAL;true;MMAS_MEM;0.5;100;true;4;46;17
NORMAL;true;EIACO;0.5;100;true;4;46;17

NORMAL;true;MMAS;0.1;100;true;4;125;18
NORMAL;true;MMAS_MEM;0.1;100;true;4;125;18
NORMAL;true;EIACO;0.1;100;true;4;125;18
NORMAL;true;MMAS;0.1;100;true;4;78;18
NORMAL;true;MMAS_MEM;0.1;100;true;4;78;18
NORMAL;true;EIACO;0.1;100;true;4;78;18
NORMAL;true;MMAS;0.1;100;true;4;46;18
NORMAL;true;MMAS_MEM;0.1;100;true;4;46;18
NORMAL;true;EIACO;0.1;100;true;4;46;18

NORMAL;false;MMAS;0.75;10;true;4;125;13
NORMAL;false;MMAS_MEM;0.75;10;true;4;125;13
NORMAL;false;EIACO;0.75;10;true;4;125;13
NORMAL;false;MMAS;0.75;10;true;4;78;13
NORMAL;false;MMAS_MEM;0.75;10;true;4;78;13
NORMAL;false;EIACO;0.75;10;true;4;78;13
NORMAL;false;MMAS;0.75;10;true;4;46;13
NORMAL;false;MMAS_MEM;0.75;10;true;4;46;13
NORMAL;false;EIACO;0.75;10;true;4;46;13

NORMAL;false;MMAS;0.5;10;true;4;125;14
NORMAL;false;MMAS_MEM;0.5;10;true;4;125;14
NORMAL;false;EIACO;0.5;10;true;4;125;14
NORMAL;false;MMAS;0.5;10;true;4;78;14
NORMAL;false;MMAS_MEM;0.5;10;true;4;78;14
NORMAL;false;EIACO;0.5;10;true;4;78;14
NORMAL;false;MMAS;0.5;10;true;4;46;14
NORMAL;false;MMAS_MEM;0.5;10;true;4;46;14
NORMAL;false;EIACO;0.5;10;true;4;46;14

NORMAL;false;MMAS;0.1;10;true;4;125;15
NORMAL;false;MMAS_MEM;0.1;10;true;4;125;15
NORMAL;false;EIACO;0.1;10;true;4;125;15
NORMAL;false;MMAS;0.1;10;true;4;78;15
NORMAL;false;MMAS_MEM;0.1;10;true;4;78;15
NORMAL;false;EIACO;0.1;10;true;4;78;15
NORMAL;false;MMAS;0.1;10;true;4;46;15
NORMAL;false;MMAS_MEM;0.1;10;true;4;46;15
NORMAL;false;EIACO;0.1;10;true;4;46;15

NORMAL;false;MMAS;0.75;100;true;4;125;16
NORMAL;false;MMAS_MEM;0.75;100;true;4;125;16
NORMAL;false;EIACO;0.75;100;true;4;125;16
NORMAL;false;MMAS;0.75;100;true;4;78;16
NORMAL;false;MMAS_MEM;0.75;100;true;4;78;16
NORMAL;false;EIACO;0.75;100;true;4;78;16
NORMAL;false;MMAS;0.75;100;true;4;46;16
NORMAL;false;MMAS_MEM;0.75;100;true;4;46;16
NORMAL;false;EIACO;0.75;100;true;4;46;16

NORMAL;false;MMAS;0.5;100;true;4;125;17
NORMAL;false;MMAS_MEM;0.5;100;true;4;125;17
NORMAL;false;EIACO;0.5;100;true;4;125;17
NORMAL;false;MMAS;0.5;100;true;4;78;17
NORMAL;false;MMAS_MEM;0.5;100;true;4;78;17
NORMAL;false;EIACO;0.5;100;true;4;78;17
NORMAL;false;MMAS;0.5;100;true;4;46;17
NORMAL;false;MMAS_MEM;0.5;100;true;4;46;17
NORMAL;false;EIACO;0.5;100;true;4;46;17

NORMAL;false;MMAS;0.1;100;true;4;125;18
NORMAL;false;MMAS_MEM;0.1;100;true;4;125;18
NORMAL;false;EIACO;0.1;100;true;4;125;18
NORMAL;false;MMAS;0.1;100;true;4;78;18
NORMAL;false;MMAS_MEM;0.1;100;true;4;78;18
NORMAL;false;EIACO;0.1;100;true;4;78;18
NORMAL;false;MMAS;0.1;100;true;4;46;18
NORMAL;false;MMAS_MEM;0.1;100;true;4;46;18
NORMAL;false;EIACO;0.1;100;true;4;46;18
